,seed_id
C00870_e,cpd00646
C00921_e,cpd00683
C00957_e,cpd00706
C01079_e,cpd00791
C01137_e,cpd00837
C01157_e,cpd00851
C01165_e,cpd00858
C01179_e,cpd00868
C01300_e,cpd00954
C01419_e,cpd01017
C01528_e,cpd01078
C01672_e,cpd01155
C02090_e,cpd01418
C02325_e,cpd01554
C02380_e,cpd01590
C02646_e,cpd01722
C02730_e,cpd01772
C03170_e,cpd02026
C03263_e,cpd02083
C03451_e,cpd02182
C03912_e,cpd02431
C04281_e,cpd02625
C05335_e,cpd03163
C05512_e,cpd03279
C05527_e,cpd03284
C05528_e,cpd03285
C05684_e,cpd03387
C05691_e,cpd03392
C05692_e,cpd03393
C05697_e,cpd03396
C05698_e,cpd03397
C05703_e,cpd03401
C05726_e,cpd12344
C05729_e,cpd16496
C05841_e,cpd03471
C05946_e,cpd00830
C05947_e,cpd01974
C07648_e,cpd04809
C07649_e,cpd04810
C09332_e,cpd06227
C11355_e,cpd08210
C12205_e,cpd08985
C16565_e,cpd16379
C16614_e,cpd16418
C16633_e,cpd16437
C16663_e,cpd16464
C16664_e,cpd16465
C16681_e,cpd16479
C16682_e,cpd16480
C18902_e,NA
C00109_e,cpd00094
C00153_e,cpd00133
C00330_e,cpd00277
C00387_e,cpd00311
C00475_e,cpd00367
C00526_e,cpd00412
C00881_e,cpd00654
C01762_e,cpd01217
C03150_e,cpd02016
C05823_e,cpd03455
C05984_e,cpd03561
C11537_e,cpd08367
C12739_e,cpd16329
C15586_e,cpd01197
C15587_e,NA
C16635_e,cpd16439
C20463_e,NA
C00422_e,cpd11677
C00836_e,cpd00623
C02934_e,cpd01879
C01092_e,cpd00800
C03201_e,cpd12273
C03454_e,cpd12322
C03508_e,cpd02211
C03820_e,cpd12400
C05781_e,cpd12770
C00187_e,cpd00160
C00712_e,cpd00536
C01530_e,cpd01080
C01595_e,cpd01122
C06424_e,cpd03847
C00120_e,cpd00104
C00440_e,cpd00345
C06453_e,cpd12878
C00009_r,cpd00009
C00011_n,cpd00011
C00013_n,cpd00012
C00019_r,cpd00017
C00020_r,cpd00018
C00021_r,cpd00019
C00044_n,cpd00038
C00055_a,cpd00046
C00058_c,cpd00047
C00063_a,cpd00052
C00072_m,cpd00059
C00073_n,cpd00060
C00091_a,cpd00078
C00100_m,cpd00086
C00101_n,cpd00087
C00109_m,cpd00094
C00160_c,cpd00139
C00167_c,cpd00144
C00170_n,cpd00147
C00180_r,cpd00153
C00184_c,cpd00157
C00195_c,cpd00167
C00195_r,cpd00167
C00197_r,cpd00169
C00206_r,cpd00177
C00227_r,cpd00196
C00236_r,cpd00203
C00242_r,cpd00207
C00250_c,cpd00215
C00314_c,cpd00263
C00319_c,cpd00267
C00319_r,cpd00267
C00360_r,cpd00294
C00362_c,cpd00296
C00410_r,cpd00325
C00427_c,cpd00336
C00440_n,cpd00345
C00446_c,cpd00348
C00468_a,cpd00362
C00468_r,cpd00362
C00534_c,cpd00419
C00546_c,cpd00428
C00584_c,cpd00454
C00627_c,cpd00478
C00632_n,cpd00483
C00647_c,cpd00493
C00693_a,cpd11728
C00696_c,cpd00527
C00700_c,cpd00530
C00780_n,cpd00579
C00831_c,cpd00620
C00864_c,cpd00644
C00951_a,cpd00702
C00951_r,cpd00702
C00988_c,cpd00727
C00989_c,cpd00728
C01041_m,cpd00766
C01134_c,cpd00834
C01151_c,cpd00847
C01159_c,cpd00853
C01177_c,cpd00867
C01204_c,cpd00885
C01209_r,cpd11492
C01213_c,cpd00891
C01220_c,cpd00898
C01243_c,cpd00914
C01260_c,cpd00924
C01261_c,cpd00925
C01272_c,cpd00934
C01335_c,cpd11848
C01449_c,NA
C01449_r,NA
